,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,140.83333333333334,190.83333333333337,124.16666666666666,307.5,99.16666666666669,449.16666666666674,90.83333333333331,540.8333333333333,74.16666666666669,265.83333333333337,140.83333333333334
y,210.83333333333331,160.83333333333331,160.83333333333331,185.83333333333331,177.5,427.5,452.5,477.5,702.5,460.83333333333337,460.83333333333337
w,0.9212185728783701,0.9310728185317095,0.9541506299785539,0.9076474058861826,0.6853083591835172,0.7084310494217219,0.8851230995327819,0.36745982450597425,0.28223455092486216,0.09321209776635263,0.07918887418859145
