,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,215.83333333333337,249.16666666666663,190.83333333333337,274.16666666666663,115.83333333333331,265.83333333333337,40.83333333333333,340.8333333333333,15.833333333333343,407.5,57.5
y,285.83333333333337,252.5,244.16666666666663,252.5,235.83333333333337,435.83333333333337,410.83333333333337,435.83333333333337,169.16666666666669,452.5,85.83333333333331
w,0.8919825535194547,0.9344885134229473,0.9014260684742647,0.7637366799747243,0.8700151032092525,0.5356147317325368,0.6436994365617341,0.16228651158949908,0.3295353608972886,0.15963321760589,0.5910330379710478
