,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,140.83333333333334,182.5,115.83333333333331,257.5,90.83333333333331,324.1666666666667,32.5,374.1666666666667,49.166666666666686,324.1666666666667,65.83333333333331
y,202.5,169.16666666666669,169.16666666666669,185.83333333333331,185.83333333333331,394.16666666666663,394.16666666666663,477.5,469.16666666666663,435.83333333333337,419.16666666666663
w,0.9091383990119485,0.954061710133272,0.9344947366153493,0.9127074596928615,0.8656294878791361,0.8285250794653799,0.8385911530139399,0.48425179275811886,0.23208794687308518,0.3823650285309436,0.19052997663909313
