,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,215.83333333333337,265.83333333333337,224.16666666666663,390.8333333333333,215.83333333333337,515.8333333333333,224.16666666666663,499.16666666666674,207.5,449.16666666666674,374.1666666666667
y,177.5,144.16666666666669,160.83333333333331,202.5,227.5,410.83333333333337,452.5,469.16666666666663,702.5,460.83333333333337,719.1666666666667
w,0.9059377632889093,0.9295646517884497,0.8707449520335478,0.9303656484566483,0.4742188397575827,0.7816183052810968,0.8638285917394302,0.1773409974341299,0.21590297923368565,0.15199661254882812,0.05860435261445887
