,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,449.16666666666674,507.5,424.1666666666667,549.1666666666667,365.8333333333333,540.8333333333333,215.83333333333337,524.1666666666667,115.83333333333331,407.5,207.5
y,144.16666666666669,110.83333333333331,85.83333333333331,144.16666666666669,85.83333333333331,385.83333333333337,285.83333333333337,477.5,477.5,452.5,469.16666666666663
w,0.9199589149624694,0.9595511642156863,0.9785671458524816,0.9038284600949755,0.9452980191099878,0.7683915680530025,0.8551765591490502,0.1319960500679764,0.8121503044577206,0.22383152082854627,0.26041041355507044
