,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,299.16666666666663,349.1666666666667,257.5,424.1666666666667,232.5,549.1666666666667,182.5,640.8333333333333,140.83333333333334,474.16666666666674,240.83333333333337
y,160.83333333333331,135.83333333333331,144.16666666666669,202.5,210.83333333333331,419.16666666666663,469.16666666666663,652.5,710.8333333333334,444.16666666666663,719.1666666666667
w,0.9298211789598652,0.9176216873468137,0.9357180726294424,0.9368605669806985,0.8309597239774816,0.7726892807904412,0.8530689912683823,0.16781137503829657,0.20273171219171263,0.072626480401731,0.08144701041427313
