,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,340.8333333333333,349.1666666666667,324.1666666666667,365.8333333333333,299.16666666666663,390.8333333333333,274.16666666666663,465.83333333333326,182.5,565.8333333333333,149.16666666666666
y,52.5,44.16666666666663,35.833333333333314,52.5,52.5,135.83333333333331,135.83333333333331,235.83333333333337,202.5,277.5,119.16666666666669
w,0.9783726112515319,0.9739339791092219,0.9708372228285845,0.9622344970703125,0.9599979176240809,0.921333043715533,0.9119715073529412,0.9067245184206495,0.93732162176394,0.9296439376531863,0.9147918701171875
