,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,32.5,132.5,49.166666666666686,315.83333333333337,340.8333333333333,399.1666666666667,107.5,407.5,57.5,99.16666666666669,65.83333333333331
y,69.16666666666663,27.5,19.16666666666663,77.5,77.5,419.16666666666663,260.83333333333337,435.83333333333337,435.83333333333337,435.83333333333337,410.83333333333337
w,0.9337316176470588,0.897035426719516,0.7064830106847426,0.7732636096430759,0.20236877740598191,0.5805081236596201,0.20188380222694546,0.17148515289905025,0.3281236835554534,0.24240070417815562,0.19763937557444852
