,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,249.16666666666663,315.83333333333337,207.5,432.5,174.16666666666666,582.5,140.83333333333334,474.16666666666674,82.5,265.83333333333337,257.5
y,60.833333333333314,27.5,35.833333333333314,144.16666666666669,110.83333333333331,435.83333333333337,427.5,702.5,702.5,410.83333333333337,377.5
w,0.9146959491804534,0.9085826200597427,0.8746465346392464,0.9303153842103248,0.5223175048828125,0.6962156407973346,0.6887118470435049,0.0627410888671875,0.10912025302064185,0.7947278789445466,0.22134785371668197
