,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,315.83333333333337,340.8333333333333,282.5,382.5,232.5,449.16666666666674,174.16666666666666,474.16666666666674,140.83333333333334,474.16666666666674,174.16666666666666
y,202.5,169.16666666666669,169.16666666666669,177.5,185.83333333333331,369.16666666666663,344.16666666666663,485.83333333333337,477.5,435.83333333333337,402.5
w,0.9239852606081496,0.9424725102443321,0.9445475260416667,0.9246118283739277,0.8991468840954351,0.8376653334673714,0.8628528071384803,0.3327304615693934,0.7182062485638787,0.8525136910232843,0.24682301540000767
