,nose,eye_l,eye_r,ear_l,ear_r,shldr_l,shldr_r,elbw_l,elbw_r,wrst_l,wrst_r
x,-25.833333333333336,7.5,-17.5,149.16666666666666,149.16666666666666,374.1666666666667,57.5,249.16666666666663,74.16666666666669,74.16666666666669,107.5
y,160.83333333333331,119.16666666666669,119.16666666666669,160.83333333333331,160.83333333333331,394.16666666666663,410.83333333333337,727.5,460.83333333333337,460.83333333333337,727.5
w,0.6275906431908701,0.846034330480239,0.5919911104090073,0.9262505624808517,0.5549017812691482,0.6247826071346507,0.5443632836435356,0.07439962648877911,0.19915654799517463,0.18836550245098038,0.07117337993547028
